INDIVIDUALS	STRATA
dip_spaAL_055	Sand
dip_spaAL_057	Posidonia oceanica meadows
dip_spaAL_058	Posidonia oceanica meadows
dip_spaAL_059	Posidonia oceanica meadows
dip_spaAL_060	Posidonia oceanica meadows
dip_spaAL_061	Posidonia oceanica meadows
dip_spaAL_062	Posidonia oceanica meadows
dip_spaAL_063	Posidonia oceanica meadows
dip_spaAL_064	Posidonia oceanica meadows
dip_spaAL_065	Posidonia oceanica meadows
dip_spaAL_066	Posidonia oceanica meadows
dip_spaAL_067	Posidonia oceanica meadows
dip_spaAL_068	Posidonia oceanica meadows
dip_spaAL_069	Posidonia oceanica meadows
dip_spaAL_070	Posidonia oceanica meadows
dip_spaAL_074	Posidonia oceanica meadows
dip_spaAL_075	Posidonia oceanica meadows
dip_spaAL_076	Posidonia oceanica meadows
dip_spaAL_077	Posidonia oceanica meadows
dip_spaAL_078	Posidonia oceanica meadows
dip_spaAL_079	Posidonia oceanica meadows
dip_spaAL_081	Posidonia oceanica meadows
dip_spaAL_083	Posidonia oceanica meadows
dip_spaAL_084	Posidonia oceanica meadows
dip_spaN_001	Posidonia oceanica meadows
dip_spaN_002	Posidonia oceanica meadows
dip_spaN_003	Posidonia oceanica meadows
dip_spaN_004	Sandy mud
dip_spaN_005	Sandy mud
dip_spaN_006	Sandy mud
dip_spaN_007	Sandy mud
dip_spaN_008	Sandy mud
dip_spaN_009	Posidonia oceanica meadows
dip_spaN_010	Posidonia oceanica meadows
dip_spaN_011	Posidonia oceanica meadows
dip_spaN_012	Posidonia oceanica meadows
dip_spaN_013	Posidonia oceanica meadows
dip_spaN_014	Posidonia oceanica meadows
dip_spaN_015	Posidonia oceanica meadows
dip_spaN_016	Posidonia oceanica meadows
dip_spaN_017	Posidonia oceanica meadows
dip_spaN_019	Posidonia oceanica meadows
dip_spaN_020	Posidonia oceanica meadows
dip_spaN_021	Posidonia oceanica meadows
dip_spaN_035	Posidonia oceanica meadows
dip_spaN_036	Posidonia oceanica meadows
dip_spaN_046	Sand
dip_spaN_047	Sand
dip_spaN_054	Sand
dip_spaN_057	Posidonia oceanica meadows
dip_spaN_062	Sand
dip_spaN_072	Posidonia oceanica meadows
dip_spaN_080	Posidonia oceanica meadows
dip_spaS_004	Sand
dip_spaS_013	Sand
dip_spaS_018	Posidonia oceanica meadows
dip_spaS_020	Fine mud
dip_spaS_023	Muddy sand
dip_spaS_025	Muddy sand
dip_spaS_027	Sand
dip_spaS_029	Fine mud
dip_spaS_030	Rock or other hard substrata
dip_spaS_031	Unknown
dip_spaS_036	Fine mud
dip_spaS_037	Fine mud
dip_spaS_041	Fine mud
dip_spaS_043	Fine mud
dip_spaS_045	Fine mud
dip_spaS_050	Sand
dip_spaS_053	Fine mud
dip_spaS_054	Fine mud
dip_spaS_064	Sand
dip_spaS_068	Posidonia oceanica meadows
dip_spaS_069	Posidonia oceanica meadows
dip_spaS_070	Posidonia oceanica meadows
dip_spaS_078	Posidonia oceanica meadows
dip_spaS_080	Posidonia oceanica meadows
dip_spaS_093	Posidonia oceanica meadows
dip_spaS_094	Sand
dip_spaS_095	Posidonia oceanica meadows
dip_spaS_096	Posidonia oceanica meadows
dip_spaS_097	Sand
dip_spaS_101	Posidonia oceanica meadows
dip_spaS_102	Posidonia oceanica meadows
dip_spaS_110	Sand
dip_spaS_111	Posidonia oceanica meadows
dip_spaS_112	Unknown
dip_spaS_113	Unknown
dip_spaS_114	Posidonia oceanica meadows
dip_spaS_115	Posidonia oceanica meadows
dip_spaS_116	Posidonia oceanica meadows
dip_spaS_117	Coarse and mixed sediment
dip_spaS_118	Coarse and mixed sediment
dip_spaS_119	Coarse and mixed sediment
