RDA1 RDA2
dip_spaAL_011 -2.84030530916978 0.478525141911671
dip_spaAL_015 -2.55949712342926 1.14622165126677
dip_spaAL_016 -1.3042491310232 1.60119339998298
dip_spaAL_020 -1.59600291792634 1.80700493036764
dip_spaAL_022 -2.40725684489024 0.332338670552818
dip_spaAL_023 -1.92658264755786 0.831989042138239
dip_spaAL_024 -1.92933395638767 1.21564003287355
dip_spaAL_026 -2.3688378665179 1.55691564537352
dip_spaAL_028 -1.80037679758169 1.47840504050683
dip_spaAL_031 -1.79360849775414 1.74519329445447
dip_spaAL_035 -1.44014908663826 1.79826956636434
dip_spaAL_037 -1.69032807875259 1.64143949368728
dip_spaAL_040 -3.70929186137288 1.24047833505265
dip_spaAL_042 -1.08218675229839 2.04863224178121
dip_spaAL_044 -1.08091950069212 1.67031624690845
dip_spaAL_047 -2.63726778000346 1.3444710319005
dip_spaAL_049 -2.76878917728942 0.381060067177525
dip_spaAL_051 -1.58303518801343 2.17415223170057
dip_spaAL_055 -2.64556053100134 1.14025262936077
dip_spaAL_057 -1.41924551518974 2.28402259072535
dip_spaAL_058 -0.869342059990306 1.89153160816449
dip_spaAL_059 -1.0952769108309 1.62980627393389
dip_spaAL_060 -1.14252338826099 2.59734197510434
dip_spaAL_061 -1.29338233906293 1.78800539847412
dip_spaAL_062 -1.46720743892655 1.97242712675537
dip_spaAL_063 -1.58408708428862 2.2615109628531
dip_spaAL_064 -0.296323966932789 1.89169386594482
dip_spaAL_065 -0.574890610107027 1.44586557709433
dip_spaAL_066 -1.53343469961939 1.93356438176621
dip_spaAL_067 -2.53992530928818 1.27927542962186
dip_spaAL_068 -0.985460594124817 2.03386486323797
dip_spaAL_069 -1.6979041958031 1.46661588128855
dip_spaAL_070 -2.3550076193822 1.73223519229485
dip_spaAL_074 -0.612325223080736 1.70218581736185
dip_spaAL_075 -1.30879586696003 2.06888874791767
dip_spaAL_076 -1.31057410342565 1.60639081462562
dip_spaAL_077 -1.72827960236551 2.22416826073112
dip_spaAL_078 -1.03211849964431 1.97430911745135
dip_spaAL_079 -1.84943909768697 1.88300423877747
dip_spaAL_081 -0.394870077699905 1.01726761442285
dip_spaAL_083 -1.69661724317648 0.989624448135637
dip_spaAL_084 -3.10544098500435 0.974539086061161
dip_spaN_001 4.1708675678208 -5.78298911473212
dip_spaN_002 4.26615083625673 -5.54959067830705
dip_spaN_003 3.81900663248367 -4.30603479021364
dip_spaN_004 2.51158061776337 -3.51235701123137
dip_spaN_005 2.75295676198211 -3.89451152060752
dip_spaN_006 1.7638708557668 -1.99573329027382
dip_spaN_007 2.21435157269324 -2.44984037987746
dip_spaN_008 1.76484550577418 -2.20984585759224
dip_spaN_009 3.66738174080754 -4.74700913229475
dip_spaN_010 3.89160876033684 -4.93829398334209
dip_spaN_011 3.53289460413574 -4.6084551825441
dip_spaN_012 3.45178688521161 -6.10226534907301
dip_spaN_013 3.6258267571 -5.50084558668955
dip_spaN_014 3.71543398731981 -5.99836815879565
dip_spaN_015 2.03936038679409 -2.43147520843841
dip_spaN_016 2.96630312915214 -5.82231941099898
dip_spaN_017 3.05162138972794 -5.31642709411784
dip_spaN_019 3.55188144577705 -5.60669410324169
dip_spaN_020 4.00506389570099 -5.97098112631225
dip_spaN_021 2.90867750679273 -4.72699546885694
dip_spaN_035 2.40190847606244 -5.0899747945266
dip_spaN_036 4.44508779323736 -4.66678237214009
dip_spaN_046 2.72676874998835 -3.79172506272765
dip_spaN_047 -0.911548437034722 -5.46070955004637
dip_spaN_054 3.69431745242094 -11.8291037628548
dip_spaN_057 4.44390762734517 -7.21861213299147
dip_spaN_062 4.65854516909998 -6.08294537353248
dip_spaN_072 3.5024482766639 -3.85232182149643
dip_spaN_080 2.8720393321933 -3.17617952571305
dip_spaS_004 -8.46934712658247 0.57167200600955
dip_spaS_013 -3.40994531826149 4.70900406957638
dip_spaS_018 -2.81180975958164 2.82583363700592
dip_spaS_020 -3.19065064524739 2.00051526706019
dip_spaS_023 -4.79633278732051 2.84457168503544
dip_spaS_025 -3.9701803370286 1.49794127417967
dip_spaS_027 -3.1081517929691 1.15318688326949
dip_spaS_029 -3.57307302414354 0.0459973680132791
dip_spaS_030 -3.43463757556352 1.46743302808928
dip_spaS_031 -5.02003212328622 2.48556262215868
dip_spaS_036 -3.35041207672556 1.16346456189333
dip_spaS_037 -3.2224992956393 1.39356874513995
dip_spaS_041 -3.37631815582926 1.89474742134283
dip_spaS_043 -3.28471653690825 0.823936047738232
dip_spaS_045 -2.2399837951117 2.06386368989475
dip_spaS_050 -3.34682878740324 1.96932502096373
dip_spaS_053 -3.38130516424435 1.4661527127179
dip_spaS_054 -3.02702510950797 1.82607161930969
dip_spaS_064 -3.00680963350912 3.24132658737181
dip_spaS_068 -6.99126109156327 2.44517100830984
dip_spaS_069 -7.92640805442758 2.31903039802889
dip_spaS_070 -8.46222982779858 2.56756148246505
dip_spaS_078 -8.53559962700697 1.43258935713364
dip_spaS_080 -8.83502489301833 1.17112971530087
dip_spaS_093 -7.2889729185062 1.97990875880742
dip_spaS_094 -6.98665271054294 4.34194592782324
dip_spaS_095 -5.09104389564437 1.62579247847276
dip_spaS_096 -5.96208104748106 2.11823456168996
dip_spaS_097 -4.03384240848542 3.83342875434046
dip_spaS_101 -8.29009355814897 2.22972874565186
dip_spaS_102 -7.64041522975447 4.34412226117432
dip_spaS_110 -5.16593943068561 3.39991920579721
dip_spaS_111 -8.62925800954884 2.18509506558376
dip_spaS_112 -4.71344796320962 3.30133333940423
dip_spaS_113 -6.4200367029547 2.81462733232764
dip_spaS_114 -8.22252562463872 1.82338012524989
dip_spaS_115 -7.26300976522706 2.32787417770144
dip_spaS_116 -8.35853987686163 2.68224440242577
dip_spaS_117 -6.20763937976825 2.17977574366862
dip_spaS_118 -5.74283499195787 1.51550782897424
dip_spaS_119 -6.17899083378263 2.28415891855604
