labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min
dip_bal_107	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.131001	0.056215	0.02927	0.377124	0.105876	0.030726
dip_bal_108	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.131001	0.056215	0.02927	0.377124	0.105876	0.030726
dip_bal_109	38.360710144043	37.4884158057728	36.7519378662109	38.3565940856934	37.5027948169677	36.6377182006836	38.3274002075195	37.5670901331408	36.8223190307617	38.3274002075195	37.5674996211611	36.8211402893066	28.7772254943848	19.2727568368802	12.8566217422485	24.0987815856934	17.404308647945	13.1692495346069	0.131001	0.056215	0.02927	0.377124	0.105876	0.030726
dip_bal_110	38.118782043457	37.3871287532236	36.8295936584473	38.1186141967773	37.3850920118135	36.8262977600098	38.1017227172852	37.4421229855768	36.9473304748535	38.1017227172852	37.4408639820143	36.9463920593262	29.1881999969482	19.5075699926793	12.8221311569214	24.7166004180908	17.6904671438809	13.2573776245117	0.118664	0.053563	0.028722	0.250985	0.067806	0.026997
dip_bal_111	38.118782043457	37.3871287532236	36.8295936584473	38.1186141967773	37.3850920118135	36.8262977600098	38.1017227172852	37.4421229855768	36.9473304748535	38.1017227172852	37.4408639820143	36.9463920593262	29.1881999969482	19.5075699926793	12.8221311569214	24.7166004180908	17.6904671438809	13.2573776245117	0.118664	0.053563	0.028722	0.250985	0.067806	0.026997
dip_bal_112	38.3316459655762	37.5458811288592	36.7932167053223	38.3256378173828	37.5669479753779	36.6796112060547	38.2435646057129	37.6142205205457	36.8807029724121	38.2493858337402	37.612426396074	36.8697853088379	28.7619647979736	19.1787346944042	12.8787631988525	24.1310653686523	17.1996085972622	13.2328386306763	0.270196	0.072815	0.030324	0.444008	0.14713	0.032772
dip_bal_113	38.3316459655762	37.5458811288592	36.7932167053223	38.3256378173828	37.5669479753779	36.6796112060547	38.2435646057129	37.6142205205457	36.8807029724121	38.2493858337402	37.612426396074	36.8697853088379	28.7619647979736	19.1787346944042	12.8787631988525	24.1310653686523	17.1996085972622	13.2328386306763	0.270196	0.072815	0.030324	0.444008	0.14713	0.032772
dip_bal_114	38.2876129150391	37.4284568983933	36.748893737793	38.2855529785156	37.4398253868366	36.6200790405273	38.2064056396484	37.5056685743661	36.8454513549805	38.2086715698242	37.5054810732261	36.8454513549805	28.8677082061768	19.3885823830791	12.9696578979492	24.2730503082275	17.4640235407599	13.2093172073364	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_115	38.1605911254883	37.4270314402964	36.8785400390625	38.1454238891602	37.4256254941568	36.8769874572754	38.1095542907715	37.4810943274662	36.9072418212891	38.1095542907715	37.4798319586392	36.9063835144043	29.4268989562988	19.481984442678	12.5860109329224	24.6946277618408	17.776237487793	13.2094297409058	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_116	38.3989906311035	37.524312753787	36.8217620849609	38.3954238891602	37.5203131396195	36.8060531616211	38.3378982543945	37.5914264547414	36.8217620849609	38.3378982543945	37.5891544736665	36.818775177002	29.039400100708	19.2801955294335	12.7358083724976	24.2046489715576	17.5516282032276	13.250786781311	0.122104	0.056443	0.029235	0.186569	0.061491	0.027987
dip_bal_117	38.3734321594238	37.5236389664398	36.8020172119141	38.3668785095215	37.5527635102985	36.683521270752	38.1951332092285	37.5919144729088	36.8726196289062	38.1951332092285	37.5915797551473	36.8628730773926	28.7843971252441	19.2240827110992	12.9549684524536	24.1851215362549	17.216674344293	13.2546157836914	0.230738	0.06789	0.02996	0.362945	0.09581	0.027325
dip_bal_118	38.2876129150391	37.4284568983933	36.748893737793	38.2855529785156	37.4398253868366	36.6200790405273	38.2064056396484	37.5056685743661	36.8454513549805	38.2086715698242	37.5054810732261	36.8454513549805	28.8677082061768	19.3885823830791	12.9696578979492	24.2730503082275	17.4640235407599	13.2093172073364	0.118205	0.054373	0.029488	0.30714	0.085631	0.028405
dip_bal_119	38.3989906311035	37.524312753787	36.8217620849609	38.3954238891602	37.5203131396195	36.8060531616211	38.3378982543945	37.5914264547414	36.8217620849609	38.3378982543945	37.5891544736665	36.818775177002	29.039400100708	19.2801955294335	12.7358083724976	24.2046489715576	17.5516282032276	13.250786781311	0.122104	0.056443	0.029235	0.186569	0.061491	0.027987
dip_bal_120	38.3989906311035	37.524312753787	36.8217620849609	38.3954238891602	37.5203131396195	36.8060531616211	38.3378982543945	37.5914264547414	36.8217620849609	38.3378982543945	37.5891544736665	36.818775177002	29.039400100708	19.2801955294335	12.7358083724976	24.2046489715576	17.5516282032276	13.250786781311	0.124079	0.05656	0.029244	0.190426	0.061018	0.027937
dip_fra_003	38.5209045410156	37.8615986944615	36.8369636535645	38.520133972168	37.8654474444773	36.838321685791	38.3141441345215	37.7386822207221	36.8369636535645	38.3531646728516	37.7407342209213	36.8369636535645	26.0153827667236	16.4185854045824	9.83964347839355	21.7078304290771	15.2530268718456	10.7996397018433	0.803992	0.233464	0.053699	0.710791	0.302027	0.097964
dip_fra_005	38.5150718688965	37.9415892020039	36.950855255127	38.4990882873535	37.9458970612493	36.9807357788086	38.4346733093262	37.8634790880927	36.950855255127	38.4346733093262	37.8658030389369	36.950855255127	25.9979572296143	16.6955352103573	9.60006332397461	21.6811695098877	15.438699697626	11.1026706695557	0.612121	0.19932	0.05194	0.645218	0.194675	0.041501
