INDIVIDUALS	STRATA
dip_fra_084	Cerbere-Banyuls
dip_fra_086	Cerbere-Banyuls
dip_fra_087	Cerbere-Banyuls
dip_fra_088	Cerbere-Banyuls
dip_fra_089	Cerbere-Banyuls
dip_fra_090	Cerbere-Banyuls
dip_fra_091	Cerbere-Banyuls
dip_fra_093	Cerbere-Banyuls
dip_fra_094	Cerbere-Banyuls
dip_fra_095	Cerbere-Banyuls
dip_fra_096	Cerbere-Banyuls
dip_fra_097	Cerbere-Banyuls
dip_fra_098	Cerbere-Banyuls
dip_fra_099	Cerbere-Banyuls
dip_fra_100	Cerbere-Banyuls
dip_spaAL_003	Illa de Tabarca
dip_spaAL_006	Illa de Tabarca
dip_spaAL_008	Illa de Tabarca
dip_spaAL_011	Illa de Tabarca
dip_spaAL_015	Illa de Tabarca
dip_spaAL_016	Illa de Tabarca
dip_spaAL_020	Illa de Tabarca
dip_spaAL_022	Illa de Tabarca
dip_spaAL_023	Illa de Tabarca
dip_spaAL_024	Illa de Tabarca
dip_spaAL_026	Illa de Tabarca
dip_spaAL_028	Illa de Tabarca
dip_spaAL_031	Illa de Tabarca
dip_spaAL_035	Illa de Tabarca
dip_spaAL_037	Illa de Tabarca
dip_spaAL_040	Illa de Tabarca
dip_spaAL_042	Illa de Tabarca
dip_spaAL_044	Illa de Tabarca
dip_spaAL_047	Illa de Tabarca
dip_spaAL_049	Illa de Tabarca
dip_spaAL_051	Illa de Tabarca
dip_spaAL_055	Illa de Tabarca
dip_spaAL_057	Illa de Tabarca
dip_spaAL_058	Illa de Tabarca
dip_spaAL_059	Illa de Tabarca
dip_spaAL_060	Illa de Tabarca
dip_spaAL_061	Illa de Tabarca
dip_spaAL_062	Illa de Tabarca
dip_spaAL_063	Illa de Tabarca
dip_spaAL_064	Illa de Tabarca
dip_spaAL_065	Illa de Tabarca
dip_spaAL_066	Illa de Tabarca
dip_spaAL_067	Illa de Tabarca
dip_spaAL_068	Illa de Tabarca
dip_spaAL_069	Illa de Tabarca
dip_spaAL_070	Illa de Tabarca
dip_spaAL_074	Illa de Tabarca
dip_spaAL_075	Illa de Tabarca
dip_spaAL_076	Illa de Tabarca
dip_spaAL_077	Illa de Tabarca
dip_spaAL_078	Illa de Tabarca
dip_spaAL_079	Illa de Tabarca
dip_spaAL_081	Illa de Tabarca
dip_spaAL_083	Illa de Tabarca
dip_spaAL_084	Illa de Tabarca
dip_spaN_001	Cap de Creus
dip_spaN_002	Cap de Creus
dip_spaN_003	Cap de Creus
dip_spaN_004	Cap de Creus
dip_spaN_005	Cap de Creus
dip_spaN_006	Cap de Creus
dip_spaN_007	Cap de Creus
dip_spaN_008	Cap de Creus
dip_spaN_009	Cap de Creus
dip_spaN_010	Cap de Creus
dip_spaN_011	Cap de Creus
dip_spaN_012	Cap de Creus
dip_spaN_013	Cap de Creus
dip_spaN_014	Cap de Creus
dip_spaN_015	Cap de Creus
dip_spaN_016	Cap de Creus
dip_spaN_017	Cap de Creus
dip_spaN_019	Cap de Creus
dip_spaN_020	Cap de Creus
dip_spaN_021	Cap de Creus
dip_spaN_035	Cap de Creus
dip_spaN_036	Cap de Creus
dip_spaN_046	Cap de Creus
dip_spaN_047	Illes Columbretes
dip_spaN_054	Illes Columbretes
dip_spaN_057	Cap de Creus
dip_spaN_062	Cap de Creus
dip_spaN_072	Cap de Creus
dip_spaN_080	Cap de Creus
dip_spaS_004	Cabo de Gata Níjar
dip_spaS_013	Cabo de Gata Níjar
dip_spaS_018	Cabo de Gata Níjar
dip_spaS_020	Illa de Tabarca
dip_spaS_023	Illa de Tabarca
dip_spaS_025	Illa de Tabarca
dip_spaS_027	Illa de Tabarca
dip_spaS_029	Illa de Tabarca
dip_spaS_030	Illa de Tabarca
dip_spaS_031	Illa de Tabarca
dip_spaS_036	Illa de Tabarca
dip_spaS_037	Illa de Tabarca
dip_spaS_041	Illa de Tabarca
dip_spaS_043	Illa de Tabarca
dip_spaS_045	Illa de Tabarca
dip_spaS_050	Illa de Tabarca
dip_spaS_053	Illa de Tabarca
dip_spaS_054	Illa de Tabarca
dip_spaS_064	Illa de Tabarca
dip_spaS_068	Cabo de Gata Níjar
dip_spaS_069	Cabo de Gata Níjar
dip_spaS_070	Cabo de Gata Níjar
dip_spaS_078	Cabo de Gata Níjar
