INDIVIDUALS	STRATA
mul_fra_122	Cerbere-Banyuls
mul_fra_123	Cerbere-Banyuls
mul_fra_124	Cerbere-Banyuls
Mul_MEDIT_002	Cabo_de_Palos_
Mul_MEDIT_009	Illa_de_Tabarca
Mul_MEDIT_015	Illa_de_Tabarca
Mul_MEDIT_022	Illa_de_Tabarca
Mul_MEDIT_025	Illa_de_Tabarca
Mul_MEDIT_032	Illes_Columbretes
Mul_MEDIT_036	Illes_Columbretes
Mul_MEDIT_044	Illa_de_Tabarca
Mul_MEDIT_048	Illa_de_Tabarca
Mul_MEDIT_054	Illes_Columbretes
Mul_MEDIT_056	Illes_Columbretes
Mul_MEDIT_059	Illes_Columbretes
Mul_MEDIT_061	Illes_Columbretes
Mul_MEDIT_064	Illes_Columbretes
Mul_MEDIT_069	Illes_Columbretes
Mul_MEDIT_072	Illes_Columbretes
Mul_MEDIT_074	Illes_Columbretes
Mul_MEDIT_075	Illes_Columbretes
Mul_MEDIT_076	Illes_Columbretes
Mul_MEDIT_077	Illes_Columbretes
Mul_MEDIT_079	Illes_Columbretes
Mul_MEDIT_081	Illes_Columbretes
Mul_MEDIT_084	Illes_Columbretes
Mul_MEDIT_086	Illes_Columbretes
Mul_MEDIT_089	Illes_Columbretes
Mul_MEDIT_090	Cap_de_Creus
Mul_MEDIT_091	Cap_de_Creus
Mul_MEDIT_095	Cap_de_Creus
mul_spaAL_003	Illa_de_Tabarca
mul_spaAL_004	Illa_de_Tabarca
mul_spaAL_007	Illa_de_Tabarca
mul_spaAL_011	Illa_de_Tabarca
mul_spaAL_019	Illa_de_Tabarca
mul_spaAL_022	Illa_de_Tabarca
mul_spaAL_025	Illa_de_Tabarca
mul_spaAL_030	Illa_de_Tabarca
mul_spaAL_033	Illa_de_Tabarca
mul_spaAL_034	Illa_de_Tabarca
mul_spaAL_039	Illa_de_Tabarca
mul_spaAL_040	Illa_de_Tabarca
mul_spaAL_041	Illa_de_Tabarca
mul_spaAL_042	Illa_de_Tabarca
mul_spaAL_043	Illa_de_Tabarca
mul_spaAL_044	Illa_de_Tabarca
mul_spaAL_045	Illa_de_Tabarca
mul_spaAL_047	Illa_de_Tabarca
mul_spaAL_048	Illa_de_Tabarca
mul_spaAL_049	Illa_de_Tabarca
mul_spaAL_050	Illa_de_Tabarca
mul_spaAL_051	Illa_de_Tabarca
mul_spaAL_055	Illa_de_Tabarca
mul_spaAL_057	Illa_de_Tabarca
mul_spaAL_060	Illa_de_Tabarca
mul_spaAL_073	Cabo_de_Palos_
mul_spaAL_077	Cabo_de_Palos_
mul_spaAL_080	Cabo_de_Palos_
mul_spaAL_083	Illa_de_Tabarca
mul_spaAL_085	Illa_de_Tabarca
mul_spaAL_088	Illa_de_Tabarca
mul_spaAL_093	Illa_de_Tabarca
mul_spaN_002	Cap_de_Creus
mul_spaN_005	Cap_de_Creus
mul_spaN_008	Cap_de_Creus
mul_spaN_009	Cap_de_Creus
mul_spaN_010	Cap_de_Creus
mul_spaN_011	Cap_de_Creus
mul_spaN_012	Cap_de_Creus
mul_spaN_013	Cap_de_Creus
mul_spaN_014	Cap_de_Creus
mul_spaN_015	Cap_de_Creus
mul_spaN_016	Cap_de_Creus
mul_spaN_017	Cap_de_Creus
mul_spaN_018	Cap_de_Creus
mul_spaN_019	Cap_de_Creus
mul_spaN_020	Cap_de_Creus
mul_spaN_021	Cap_de_Creus
mul_spaN_022	Cap_de_Creus
mul_spaN_023	Cap_de_Creus
mul_spaN_024	Cap_de_Creus
mul_spaN_025	Cap_de_Creus
mul_spaN_026	Cap_de_Creus
mul_spaN_027	Cap_de_Creus
mul_spaN_028	Cap_de_Creus
mul_spaN_029	Cap_de_Creus
mul_spaN_030	Cap_de_Creus
mul_spaN_031	Cap_de_Creus
mul_spaN_032	Cap_de_Creus
mul_spaN_033	Cap_de_Creus
mul_spaN_034	Cap_de_Creus
mul_spaN_035	Cap_de_Creus
mul_spaN_036	Cap_de_Creus
mul_spaN_037	Cap_de_Creus
mul_spaN_038	Cap_de_Creus
mul_spaN_041	Cap_de_Creus
mul_spaN_042	Illes_Columbretes
mul_spaN_051	Cap_de_Creus
mul_spaN_059	Cap_de_Creus
mul_spaN_062	Cap_de_Creus
mul_spaN_065	Cap_de_Creus
mul_spaN_068	Cap_de_Creus
mul_spaS_002	Cabo_de_Gata_Níjar
mul_spaS_003	Cabo_de_Gata_Níjar
mul_spaS_004	Cabo_de_Gata_Níjar
mul_spaS_005	Cabo_de_Gata_Níjar
mul_spaS_006	Cabo_de_Gata_Níjar
mul_spaS_007	Cabo_de_Gata_Níjar
mul_spaS_008	Cabo_de_Gata_Níjar
mul_spaS_012	Cabo_de_Gata_Níjar
mul_spaS_016	Cabo_de_Gata_Níjar
mul_spaS_018	Cabo_de_Gata_Níjar
mul_spaS_021	Cabo_de_Gata_Níjar
mul_spaS_025	Cabo_de_Gata_Níjar
mul_spaS_026	Cabo_de_Gata_Níjar
mul_spaS_027	Cabo_de_Gata_Níjar
mul_spaS_028	Cabo_de_Gata_Níjar
mul_spaS_029	Cabo_de_Gata_Níjar
mul_spaS_038	Cabo_de_Gata_Níjar
mul_spaS_041	Cabo_de_Gata_Níjar
mul_spaS_043	Cabo_de_Gata_Níjar
mul_spaS_048	Cabo_de_Gata_Níjar
mul_spaS_050	Cabo_de_Gata_Níjar
mul_spaS_052	Cabo_de_Gata_Níjar
mul_spaS_057	Cabo_de_Gata_Níjar
mul_spaS_060	Cabo_de_Gata_Níjar
mul_spaS_061	Cabo_de_Gata_Níjar
mul_spaS_062	Cabo_de_Gata_Níjar
mul_spaS_063	Cabo_de_Gata_Níjar
mul_spaS_064	Cabo_de_Gata_Níjar
mul_spaS_065	Cabo_de_Gata_Níjar
mul_spaS_066	Cabo_de_Gata_Níjar
mul_spaS_067	Cabo_de_Gata_Níjar
mul_spaS_068	Cabo_de_Gata_Níjar
mul_spaS_069	Cabo_de_Gata_Níjar
mul_spaS_070	Cabo_de_Gata_Níjar
mul_spaS_073	Cabo_de_Gata_Níjar
mul_spaS_075	Cabo_de_Gata_Níjar
mul_spaS_079	Cabo_de_Gata_Níjar
mul_spaS_080	Cabo_de_Gata_Níjar
mul_spaS_084	Cabo_de_Gata_Níjar
mul_spaS_086	Cabo_de_Gata_Níjar
mul_spaS_091	Cabo_de_Gata_Níjar
mul_spaS_093	Cabo_de_Gata_Níjar
mul_spaS_095	Cabo_de_Palos_
mul_spaS_100	Cabo_de_Palos_
mul_spaS_101	Cabo_de_Palos_
mul_spaS_104	Cabo_de_Palos_
mul_spaS_105	Cabo_de_Palos_
mul_spaS_107	Cabo_de_Palos_
mul_spaS_110	Cabo_de_Palos_
mul_spaS_111	Cabo_de_Palos_
mul_spaS_112	Cabo_de_Palos_
mul_spaS_113	Cabo_de_Palos_
mul_spaS_118	Cabo_de_Palos_
mul_spaS_121	Cabo_de_Palos_
mul_spaS_124	Cabo_de_Palos_
mul_spaS_125	Cabo_de_Palos_
mul_spaS_130	Cabo_de_Palos_
mul_spaS_133	Cabo_de_Palos_
mul_spaS_134	Cabo_de_Palos_
mul_spaS_138	Cabo_de_Palos_
mul_spaS_142	Cabo_de_Palos_
mul_spaS_145	Cabo_de_Palos_
mul_spaS_146	Cabo_de_Palos_
mul_spaS_152	Cabo_de_Gata_Níjar
mul_spaS_153	Cabo_de_Gata_Níjar
mul_spaS_154	Cabo_de_Gata_Níjar
mul_spaS_155	Cabo_de_Gata_Níjar
mul_spaS_156	Cabo_de_Gata_Níjar
mul_spaS_157	Cabo_de_Gata_Níjar
mul_spaS_158	Cabo_de_Gata_Níjar
mul_spaS_159	Cabo_de_Gata_Níjar
mul_spaS_160	Cabo_de_Gata_Níjar
mul_spaS_169	Cabo_de_Palos_
mul_spaS_177	Cabo_de_Palos_
mul_spaS_179	Cabo_de_Palos_
